maleallageagerange11,0,90,658,3622,3756,6209,6209,6209,6209,6209,6616,8629,8629,8629,8629,8629,8629,8629,8629,8682,11115,11115,11115,11115,11115,11115,11115,11115,11115,11366,13653,13653,13653,13653,13653,13653,13653,13653,15459,15966,15966,15966,15966,15966,15966,18342,18584,18584,18584,18584,18584,20479,20924,20924,20924,20924,20924,23549,23680,23680,23680,23680,24364,25891,25891,25891,26476,28582,28582,28582,28803,30825,30825,30825,30825,32842,33657,34722,35820,36652,38598,40452,41916,43647,44781,45972,48527,50292,53349,57531,62516,65038,68446,73398,79800,88004,130900,192159,192159,192159
maleallageagerange12,0,18,286,2717,3622,3622,5886,6209,6209,6209,6209,6209,8347,8629,8629,8629,8629,8629,8629,8629,8629,8629,9423,11115,11115,11115,11115,11115,11115,11115,11115,11115,11115,11846,13653,13653,13653,13653,13653,13653,13653,13653,13653,13653,15637,15966,15966,15966,15966,15966,15966,15966,17047,18584,18584,18584,18584,18584,18584,18584,19760,20924,20924,20924,20924,20924,20924,23111,23680,23680,23680,23680,23870,25891,25891,25891,26063,28582,28582,28582,30473,30825,32307,33657,34819,36706,38598,40576,42566,44342,46072,49377,52321,56911,62445,70628,84447,126370,192159,192159
maleallgeographyurban,0,0,0,0,0,0,0,249,286,286,286,2134,3622,3622,5432,6209,6209,6209,8493,8629,8629,9497,11115,11115,11115,11115,12544,13653,13653,13653,15460,15966,15966,15966,16918,18584,18584,18584,20153,20924,20924,20924,20924,22784,23680,23680,24918,25891,25891,25891,26233,28582,28582,30304,30825,30825,30825,31021,33657,33936,35820,35820,35820,36502,38598,39213,40836,40836,40836,43124,44278,45863,45863,47953,49196,50779,50779,51834,54237,55872,57184,59832,60764,61688,64661,66393,69802,71491,74940,77004,80564,84554,89718,113350,192159,192159,192159,192159,192159,192159
maleallgeographyrural,0,0,0,0,0,0,165,286,286,286,286,856,3622,3622,4158,6209,6209,6209,6209,6209,7472,8629,8629,8629,8629,10529,11115,11115,11115,11115,11115,13201,13653,13653,13653,13871,15966,15966,15966,15966,15966,17420,18584,18584,18584,18584,20769,20924,20924,20924,20924,22123,23680,23680,23680,25094,25891,25891,25891,25891,27057,28582,28582,28901,30825,30825,30825,30825,30825,32704,33657,34414,35820,35820,35820,37194,38598,39500,40836,40836,41023,43647,45110,45863,47391,48791,50779,50779,53031,55832,58202,60764,62073,65987,71121,76537,82433,121507,192159,192159
maleallgeographynortheast,0,0,0,0,0,0,141,286,286,286,286,3241,3622,3622,5604,6209,6209,6209,7828,8629,8629,8629,10548,11115,11115,11115,12335,13653,13653,13653,15014,15966,15966,15966,16839,18584,18584,18584,20454,20924,20924,20924,22000,23680,23680,24515,25891,25891,25891,26056,28582,28582,29930,30825,30825,30825,30964,33657,33657,35661,35820,35820,36697,38598,38916,40836,40836,40836,41970,43647,45391,45863,46352,48527,50093,50779,51040,53617,55740,56490,59280,60764,61436,64531,65844,69545,70927,74323,75976,79542,81539,86335,91896,148106,192159,192159,192159,192159,192159,192159
maleallgeographymidwest,0,0,0,0,0,170,286,286,286,286,2697,3622,3622,5517,6209,6209,6209,8014,8629,8629,9459,11115,11115,11115,11115,13023,13653,13653,13653,15594,15966,15966,15966,17429,18584,18584,18584,20649,20924,20924,20924,20942,23680,23680,23680,24830,25891,25891,25891,25891,27947,28582,29095,30825,30825,30825,30825,30825,33368,33657,35274,35820,35820,35820,37175,38598,39436,40836,40836,40836,42716,43647,45602,45863,46601,48527,49957,50779,50779,52081,54463,55872,56863,59247,60764,60764,63669,65785,69453,71503,75122,77768,81595,86517,94331,190224,192159,192159,192159,192159
maleallgeographysouth,0,0,0,0,0,0,0,64,286,286,286,286,3561,3622,3739,6209,6209,6209,6209,7156,8629,8629,8629,9765,11115,11115,11115,11115,11970,13653,13653,13653,14414,15966,15966,15966,15966,17098,18584,18584,18584,19080,20924,20924,20924,20924,20924,22625,23680,23680,24420,25891,25891,25891,25891,27495,28582,28748,30825,30825,30825,30825,30887,33657,33790,35820,35820,35820,35841,38598,38643,40836,40836,40836,43230,44724,45863,46428,48527,50574,50779,51211,54174,55872,57348,60295,60764,63549,65785,69147,71752,75526,79663,84924,92387,176370,192159,192159,192159,192159
maleallgeographywest,0,0,0,0,0,0,0,55,286,286,286,286,2495,3622,4134,6209,6209,6209,7981,8629,8629,8629,10506,11115,11115,11115,11115,11115,13433,13653,13653,13653,15760,15966,15966,15966,16031,18584,18584,18584,19117,20924,20924,20924,20924,21288,23680,23680,23683,25891,25891,25891,25891,27576,28582,28588,30825,30825,30825,30825,32876,33657,35533,35820,35820,37006,38598,40147,40836,40836,41861,43690,45863,45863,47755,48792,50779,50779,51968,54293,56029,58953,60764,60764,63677,66345,69713,71553,75018,77194,80663,84352,89546,94914,187563,192159,192159,192159,192159,192159
malealleducationno-highschool,0,0,0,0,0,138,286,286,315,3622,3622,3622,6063,6209,6209,6209,6209,6209,6209,6714,8629,8629,8629,8629,8629,8629,8629,8629,8629,10960,11115,11115,11115,11115,11115,11115,11115,11115,11115,12617,13653,13653,13653,13653,13653,13653,13653,15635,15966,15966,15966,15966,15966,15966,15966,16070,18584,18584,18584,18584,18584,18584,19614,20924,20924,20924,20924,20924,20924,21009,23680,23680,23680,23680,25700,25891,25891,25891,26242,28582,28582,29713,30825,30825,30825,31900,33657,35170,35820,36633,39120,40836,41922,45059,47712,51541,55791,63112,99826,192159
malealleducationhighschool,0,0,118,286,1500,3622,5903,6209,6209,8402,8629,8629,10217,11115,11115,11115,11115,13372,13653,13653,13653,15181,15966,15966,15966,15966,17771,18584,18584,18584,18873,20924,20924,20924,20924,20924,20924,23277,23680,23680,23680,24854,25891,25891,25891,25891,25891,27067,28582,28582,28590,30825,30825,30825,30825,30825,30825,32152,33657,33657,35171,35820,35820,35820,35820,37350,38598,38598,40650,40836,40836,40836,41497,43647,44131,45863,45863,45863,48454,48667,50779,50779,50779,52234,54360,55872,56963,59397,60764,61059,64160,66091,69788,72728,76252,80847,88264,168609,192159,192159
