maleallageagerange11,0,0,78,1641,5063,6212,8710,8710,8710,8710,10819,11122,11122,11122,11122,11981,13678,13678,13678,13678,13678,15702,15921,15921,15921,15921,15921,16587,18597,18597,18597,18597,18597,18597,20204,20870,20870,20870,20870,20870,22435,23692,23692,23692,23692,23824,25771,25771,25771,25771,27351,28533,28533,30165,30730,30730,30730,32242,33612,34086,35781,35781,36902,38557,38557,40097,40709,41471,43630,44308,45704,46131,48543,49478,50621,51849,53592,54845,55988,58569,60339,61193,64263,66475,69473,70828,73731,76754,79160,82697,87123,93341,157907,178282,178282,178282,178282,178282,178282,178282,178282
maleallageagerange12,0,0,37,581,4223,6062,7173,8710,8710,8710,9567,11122,11122,11122,11122,11122,11996,13678,13678,13678,13678,13678,13678,13678,15164,15921,15921,15921,15921,15921,15921,15921,15921,17468,18597,18597,18597,18597,18597,18597,18597,18597,20229,20870,20870,20870,20870,20870,20870,23536,23692,23692,23692,23692,24684,25771,25771,25771,25771,25777,28533,28533,28533,29522,30730,30730,30730,31669,33612,33612,34670,35781,35781,38007,38557,38709,40709,41908,43630,44305,45704,47705,49216,50621,52635,54608,57438,60645,63605,66611,69284,72787,76883,83494,90259,123214,178282,178282,178282,178282,178282
maleallgeographyurban,0,0,0,0,0,0,0,0,0,0,0,100,175,175,178,3596,3596,5508,6062,6549,8710,8710,8865,11122,11122,11122,11239,13678,13678,13998,15921,15921,15921,16149,18597,18597,18597,20643,20870,20870,20870,22917,23692,23933,25771,25771,25771,26813,28533,29123,30730,30730,30730,31580,33612,35095,35781,35781,37213,38557,40622,40709,40709,42533,44538,45704,45704,48403,49778,50621,50621,52156,54757,55715,58264,60621,60621,62843,65602,66977,70111,70804,74664,76315,79989,81729,85890,89978,92901,129416,178282,178282,178282,178282,178282,178282,178282,178282,178282,178282,178282
maleallgeographyrural,0,0,0,0,0,0,0,0,0,0,169,175,175,1449,3596,3669,6062,6062,6859,8710,8710,8710,9234,11122,11122,11122,11122,12629,13678,13678,13678,14945,15921,15921,15921,15921,17396,18597,18597,18597,19843,20870,20870,20870,20870,23614,23692,23692,25651,25771,25771,25771,27453,28533,28655,30730,30730,30730,30730,30978,33612,33681,35781,35781,35781,36627,38557,38557,40600,40709,40709,42103,43630,45401,45704,47178,48543,50514,50621,50621,53449,55667,57116,59642,60621,61871,65295,67263,70585,72838,75657,79723,83026,87783,92553,156157,178282,178282,178282,178282,178282
maleallgeographynortheast,0,0,0,0,0,0,0,0,0,0,0,148,175,175,175,3054,3596,4975,6062,6161,8710,8710,8898,11122,11122,11122,12102,13678,13678,14720,15921,15921,15921,17707,18597,18597,19416,20870,20870,20870,22837,23692,23997,25771,25771,25771,27668,28533,29938,30730,30730,30730,32917,33718,35781,35781,35837,38557,39311,40709,40709,40896,43630,44996,45704,46536,48605,50621,50621,50667,53739,55715,56503,59486,60621,61636,64480,65647,67184,70548,71110,74820,76637,80327,81768,85792,90055,92578,121941,178282,178282,178282,178282,178282,178282,178282,178282,178282,178282,178282,178282
maleallgeographymidwest,0,0,0,0,0,0,0,0,0,106,175,175,175,2646,3596,4605,6062,6062,8323,8710,8710,9838,11122,11122,11122,13312,13678,13678,15684,15921,15921,15921,18429,18597,18597,20129,20870,20870,20870,21750,23692,23692,24930,25771,25771,25771,27147,28533,28752,30730,30730,30730,31115,33612,34235,35781,35781,35781,37342,38557,39991,40709,40709,40994,43630,45073,45704,45704,48335,49088,50621,50621,50621,53485,55457,56054,59074,60621,60621,63279,65647,67186,70072,70691,74497,76182,79921,81683,85635,89753,92696,128339,178282,178282,178282,178282,178282,178282,178282,178282,178282
maleallgeographysouth,0,0,0,0,0,0,0,0,0,0,0,20,175,175,175,3563,3596,5623,6062,6490,8710,8710,8710,10819,11122,11122,11122,12161,13678,13678,13678,15904,15921,15921,15921,16828,18597,18597,18597,20778,20870,20870,20870,22879,23692,23751,25771,25771,25771,25771,28523,28533,30298,30730,30730,30730,32201,33612,35511,35781,35781,37437,38557,40651,40709,40709,42176,44271,45704,45704,48447,49665,50621,50621,52163,54790,55715,58511,60621,60621,62848,65647,67437,70429,71487,75293,77280,80578,84495,88823,91916,127205,178282,178282,178282,178282,178282,178282,178282,178282,178282
maleallgeographywest,0,0,0,0,0,0,0,0,0,0,0,28,175,175,175,1822,3596,4123,6062,6062,7530,8710,8710,9170,11122,11122,11122,11122,13336,13678,13883,15921,15921,15921,16060,18597,18597,18597,20418,20870,20870,20870,21616,23692,23692,24832,25771,25771,25771,28509,28533,30594,30730,30730,30730,32861,33966,35781,35781,36336,38557,39891,40709,40709,42399,44616,45704,45777,48543,50300,50621,50621,53242,55671,57189,59897,60621,62204,65437,67608,70691,72361,75455,78087,80578,84132,87532,91209,96466,176505,178282,178282,178282,178282,178282,178282,178282,178282,178282,178282,178282
malealleducationno-highschool,0,0,0,0,0,0,0,0,0,0,2,175,175,1808,3596,4496,6062,6062,6062,6970,8710,8710,8710,8710,8710,8710,8710,9093,11122,11122,11122,11122,11122,11122,11122,11122,11122,12972,13678,13678,13678,13678,13678,14841,15921,15921,15921,15921,15921,15921,15921,17145,18597,18597,18597,18597,18597,18597,20669,20870,20870,20870,20870,20870,21038,23692,23692,23692,23981,25771,25771,25771,25771,25771,28243,28533,29740,30730,30730,30730,30730,33551,34820,35781,35781,37103,38557,40233,40709,40772,44218,45999,49446,50621,54962,59591,65375,72524,84639,169050,178282
malealleducationhighschool,0,0,0,0,0,51,175,1256,3596,5474,6062,7810,8710,8710,10167,11122,11122,11122,12524,13678,13678,13820,15921,15921,15921,15921,16357,18597,18597,18597,18953,20870,20870,20870,20870,20870,23654,23692,23692,24669,25771,25771,25771,25771,27090,28533,28533,29808,30730,30730,30730,30730,30730,33066,33612,34980,35781,35781,35781,36023,38557,38557,40061,40709,40709,40709,41283,43630,44713,45704,45704,46681,48543,49452,50621,50621,50621,52210,54373,55715,57255,59768,60621,60621,63864,65647,67085,69898,70859,74521,76388,80047,82306,87505,91999,140626,178282,178282,178282,178282,178282
